,Country (or dependency),Region,Year,Infant_deaths,Incidents_HIV,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy,avg_vax_rate,ISO
40,Moldova,Rest of Europe,2015,13.6,0.36,2732.0,2.83,11.6,0,71.5,88.75,MDA
41,Republic of the Congo,Africa,2015,37.6,2.04,2449.0,4.86,6.3,0,63.1,76.0,COG
42,Grenada,Central America and Caribbean,2015,14.3,0.4,9097.0,0.11,8.7,0,72.4,93.0,GRD
43,Namibia,Africa,2015,33.3,4.58,4897.0,2.31,6.7,0,62.1,85.0,NAM
44,Estonia,European Union,2015,2.4,0.08,17402.0,1.32,12.7,1,77.6,92.25,EST
45,Canada,North America,2015,4.7,0.1,43596.0,35.7,13.1,1,81.9,80.75,CAN
46,Togo,Africa,2015,50.8,0.72,571.0,7.32,4.7,0,59.9,80.5,TGO
47,Kuwait,Middle East,2015,7.5,0.13,29870.0,3.84,7.1,0,75.1,98.25,KWT
48,Eritrea,Africa,2015,34.0,0.1,9011.0,0.35,3.9,0,64.7,93.25,ERI
49,Iceland,Rest of Europe,2015,1.8,0.05,52952.0,0.33,12.2,1,82.5,91.5,ISL
50,Papua New Guinea,Oceania,2015,40.2,0.41,2679.0,8.11,4.3,0,63.5,64.0,PNG
51,Spain,European Union,2015,2.7,0.09,25742.0,46.44,9.7,1,82.8,96.25,ESP
52,China,Asia,2015,8.3,0.1,8016.0,1379.86,7.7,0,75.9,99.0,CHN
53,Belarus,Rest of Europe,2015,3.1,0.22,5967.0,9.46,12.2,0,73.6,99.0,BLR
54,Georgia,Rest of Europe,2015,9.4,0.14,4014.0,3.73,12.7,0,73.0,92.5,GEO
55,Tajikistan,Asia,2015,32.6,0.11,978.0,8.45,10.5,0,70.1,95.5,TJK
56,New Zealand,Oceania,2015,4.6,0.03,38631.0,4.61,12.4,1,81.5,90.75,NZL
57,Bangladesh,Asia,2015,31.0,0.01,1248.0,156.26,5.2,0,71.5,95.5,BGD
58,Hungary,European Union,2015,4.2,0.08,12721.0,9.84,11.8,1,75.6,96.25,HUN
59,Cambodia,Asia,2015,27.3,0.1,1163.0,15.52,4.7,0,68.6,82.75,KHM
60,Somalia,Africa,2015,83.6,0.13,386.0,13.8,2.1,0,55.9,48.75,SOM
61,Uzbekistan,Asia,2015,17.3,0.14,2754.0,31.3,11.4,0,70.9,99.0,UZB
62,Vanuatu,Oceania,2015,23.6,0.17,2696.0,0.27,6.8,0,69.9,68.25,VUT
63,Uruguay,South America,2015,7.6,0.24,15614.0,3.41,8.7,0,77.4,94.5,URY
64,Peru,South America,2015,12.2,0.13,6229.0,30.47,9.1,0,75.8,82.75,PER
65,Chile,South America,2015,6.7,0.19,13495.0,17.97,10.3,0,79.6,94.5,CHL
66,Germany,European Union,2015,3.3,0.03,41103.0,81.69,14.1,1,80.6,92.0,DEU
67,Israel,Middle East,2015,3.2,0.08,35808.0,8.38,13.0,1,82.1,95.75,ISR
68,Cuba,Central America and Caribbean,2015,4.5,0.16,7694.0,11.32,11.4,0,78.6,99.0,CUB
69,Switzerland,Rest of Europe,2015,3.7,0.05,84776.0,8.28,13.4,1,82.9,92.0,CHE
70,Liberia,Africa,2015,64.4,3.5,722.0,4.47,4.4,0,62.3,58.25,LBR
